"Band","Genre","Location","Years active"
"Moiré","Thrash Metal","Kansas City, Missouri","1997-Present"
"Moiscus","Brutal Death Metal/Goregrind","Dayton, Ohio","N/A"
"Moist","Brutal Death Metal/Deathcore","Fort Wayne, Indiana","N/A"
"Moistened Disciples","Brutal Death Metal/Grindcore","Dyer, Indiana","2005-Present"
"Moisturizer","Grindcore","Providence, Rhode Island","2017-Present"
"Molasses Barge","Doom Metal","Pittsburgh, Pennsylvania","2008-2021"
"Mold Farmer","Stoner/Doom Metal","Pittsburgh, Pennsylvania","2018-Present"
"Mold Golem","Heavy/Doom Metal","Toledo, Ohio","2018-Present"
"Molder","Death/Thrash Metal","Shorewood, Illinois","2017-Present"
"Moldering Vibration","Sludge Metal/Grindcore","Baldwin Park, California","2019-Present"
"Moldy Castle","Heavy Metal","Olympia, Washington","2011-2014"
"Molech","Death/Thrash Metal","Miami, Florida","N/A"
"Molehill","Sludge Metal","Birmingham, Alabama","1998-1999 (as Silt), 1999-1999 (as Slumlord), 1999-2002"
"Molestation","Death Metal/Grindcore","Salinas, California","2004-2006"
"Molestator","Black/Death Metal","El Paso, Texas","2008-Present"
"Molested","Brutal Death Metal","Norman, Oklahoma","2016-Present"
"Molested Senses","Death Metal","Lewiston, Maine","1990-2005, 2010-Present"
"Molester","Brutal Death Metal","Colorado Springs, Colorado","1995-?"
"Molesting the Dead","Slam/Brutal Death Metal","South New Jersey","2006-2008, 2008-2009 (as Vomiting Omophagia), 2010-2013 (as The Gurchick Tree)"
"Molgah","Death Metal","McLean, Virginia","N/A"
"Møllehøj","Raw Atmospheric Black Metal","Oregon","2012-?"
"Mollusk","Sludge/Doom Metal","Boston, Massachusetts","2010-Present"
"Moloch","Black Metal",,"N/A"
"Moloch","Death Metal","Cincinnati, Ohio","2005-2007"
"Moloch","Black Metal","Tulsa, Oklahoma","2010-2017"
"Molochs Trip","Avant-garde Black Metal",,"N/A"
"Molotov","Thrash Metal","Peoria, Illinois","N/A"
"Molotov Solution","Deathcore","Las Vegas, Nevada","2004-2012, 2013-2015, 2016-Present"
"Molten","Heavy/Thrash/Death Metal","San Francisco, California","2017-Present"
"Molten","Heavy/Thrash Metal","Omaha, Nebraska","2016-Present"
"Molten Keep","Black Metal","Florida","2015-Present"
"Moltens Lore","Progressive/Power Metal","Newington, Connecticut","N/A"
"Moment of Fierce Determination","Thrash Metal","Conway, Arkansas","2009-Present"
"Moment of Truth","Groove Metal/Metalcore/Death 'n' Roll","Columbia, South Carolina","2005-2008"
"Moment of Truth","Crossover","Rochester, New York","1991-1996, 2017-?, ?-Present"
"Moment of Violence","Groove/Thrash Metal","Norfolk, Virginia","N/A"
"Moment of Winter","Black/Doom Metal",,"N/A"
"Moments Till Fall","Melodic/Technical Death Metal","Amarillo, Texas (early); Lubbock, Texas (later)","2006-Present"
"Momentum","Crossover/Hardcore/Thrash Metal","Los Angeles, California","2016-Present"
"Mommy's Lil Monsterz","Grindcore/Death Metal","Cape Coral, Florida","N/A"
"Monadnok","Black/Death Metal","Rockville, Maryland","2017-Present"
"Monarch","Thrash Metal","Torrance, California","?-? (as Denial), ?-?, ?-? (as Appomattox)"
"Monarch","Thrash/Heavy Metal","Buffalo, New York","N/A"
"Monarch","Sludge/Doom Metal","Richmond, Virginia","2002-2008"
"Monarch","Thrash Metal","Vista/Oceanside/Carlsbad, California","2008-Present"
"Monarch","Death/Doom Metal","New York, New York","N/A"
"Monarch of Blood","Melodic Black Metal",,"2019-2021"
"Monasticism","Black/Death Metal","New Jersey","2011-?"
"Monday Knights","Heavy Metal","New York, New York","1998-?"
"Monday with a Bullet","Melodic Death/Thrash Metal","Eugene/Springfield, Oregon","?-2012"
"Mondhaurn","Black Metal","Tampa, Florida","N/A"
"Mondlicht","Symphonic Black Metal","Stilwell, Oklahoma","N/A"
"Mondo Trasho","Thrash Metal/Crossover","Minnesota","N/A"
"Mongolian Death Worm","Death/Thrash Metal","Deltona, Florida","2005-?"
"Mongoloid Witchcraft","Death Metal/Grindcore","Sonoma, California","1996-?"
"Mongrel","Black Metal","Brooklyn (New York City), New York","2012-?"
"Monist","Death Metal","Philadelphia, Pennsylvania","N/A"
"Monitum","Atmospheric Black Metal","Nashville, Tennessee","2018-Present"
"Monke","Black/Death Metal","Portland, Oregon","N/A"
"Monkeyman","Thrash Metal/Crossover","Jackson, New Jersey","N/A"
"Monocane","Black/Doom Metal","New Jersey","N/A"
"Monoceros","Progressive Heavy Metal/Hard Rock","Lehigh Valley, Pennsylvania / Belvidere, New Jersey","N/A"
"Monochromatic Residua","Technical Death Metal","Pittsburgh, Pennsylvania","N/A"
"Monogamizer","Progressive Sludge Metal","Denton, Texas","2013-2019"
"Monogon","Heavy/Black Metal","Hutchinson, Minnesota","2007-2008 (as Soul Abruption), 2008-2013"
"Monoliath","Thrash Metal","Nashville, Tennessee","2001-?"
"Monolith","Progressive/Thrash Metal","Chicago, Illinois","N/A"
"Monolith","Black/Death/Thrash Metal","McConnelsville, Ohio","2001-2006"
"Monolith","Thrash Metal","Winchester, Virginia","1994-2013"
"Monolith","Progressive/Power Metal","Melville (Long Island), New York","1995-?"
"Monolith","Heavy/Thrash Metal","Leeds, New York","1986-1995"
"Monolith","Power Metal","San Jose, California","1983-?"
"Monolith","Sludge Metal","Philadelphia, Pennsylvania","N/A"
"Monolith","Death Metal","Kingsport, Tennessee","1989-1989, 1991-2000"
"Monolith","Thrash Metal","Perris, California","2009-?"
"Monolith","Heavy Metal","San Diego, California / Denver, Colorado / Louisville, Kentucky","2013-Present"
"Monolith","Sludge/Post-Metal","Cortland, New York","?-2018 (as Monolith), 2018-? (as Hearse)"
"Monolith","Progressive Metal","Lake County, Indiana","2008-2016, 2016-? (as Mind's Horizon)"
"Monolith","Heavy/Doom Metal","North Haledon, New Jersey","N/A"
"Monolith","Heavy Metal/Hard Rock","Eugene, Oregon","1985-?"
"Monolith Wielder","Stoner/Doom Metal","Pittsburgh, Pennsylvania","2014-2018"
"Monolithic","Drone/Doom Metal","Pennsylvania","2012-Present"
"Monolithic Witch","Sludge Metal","Portland, Oregon","2017-Present"
"Monolito Project","Progressive Heavy/Gothic Metal",,"N/A"
"Monolittisk","Raw Black Metal","Virginia Beach, Virginia","N/A"
"Monomurmurs","Black Metal","Salem, Massachusetts","2019-Present"
"Monotheist","Progressive Death Metal","Orlando, Florida","2004-Present"
"Monotremata","Experimental Industrial Metal","Ventura, California","2005-Present"
"Monoxide","Death/Thrash Metal","Piermont, New York","?-1988 (as Dregs of Society), 1988-?"
"Mons Absconditus","Atmospheric/Progressive Black Metal","Boulder, Colorado","2015-2017, 2015-Present"
"Monster","Melodic Heavy Metal","Los Angeles, California","1980-1989 (as Malice), ?-? (as Rattleshack), ?-?, 2006-? (as Malice)"
"Monster","Heavy Metal","Kansas City, Missouri","N/A"
"Monster","Thrash Metal, Heavy Metal","Atlanta, Georgia","1992-1998"
"Monster Blood","Crossover/Thrash Metal/Powerviolence","Snoqualmie, Washington","N/A"
"Monster God","Doom/Sludge Metal","Oakland, California","2017-Present"
"Monster Mike","Heavy/Progressive Metal","New Jersey","N/A"
"Monster Skull","Heavy/Doom Metal","Olympia, Washington","N/A"
"Monster X","Power/Thrash Metal","Wayne, New Jersey","1996-?"
"Monster X","Thrash Metal","Yonkers, New York","1994-?, ?-? (as Tru Smoke Diezel)"
"Monsters Among Gods","Deathcore","Tacoma, Washington","N/A"
"Monsters Eat People","Progressive/Post-Metal","Philadelphia, Pennsylvania","N/A"
"Monstrance","Death Metal","Easthampton, Massachusetts","N/A"
"Monstrella","Progressive Heavy/Thrash/Death/Groove Metal","Akron, Ohio","N/A"
"Monstrosity","Death Metal","Fort Lauderdale, Florida (early); Tampa, Florida (later)","1990-Present"
"Montage","Heavy/Power Metal","Detroit/Port Huron, Michigan","N/A"
"Monte Luna","Psychedelic Doom Metal","Austin, Texas","2015-Present"
"Montez","Speed/Power Metal","Cleveland, Ohio","N/A"
"Montezuma","Death Metal","Newhall, California","2010-2017, 2021-? (as The Mosaic Window)"
"Montra","Groove/Thrash Metal/Hardcore","San Jose, California","2007-Present"
"Montresor","Heavy/Power Metal","Irvine, California","N/A"
"Monument","Power Metal (early); Death/Thrash Metal (later)","Oklahoma City, Oklahoma","1993-Present"
"Monument of Bones","Death Metal","Blue Springs, Missouri","N/A"
"Monument of Urns","Drone/Funeral Doom Metal","New England","2004-Present"
"Monumental Discharge","Slam/Brutal Death Metal","Denver, Colorado","N/A"
"Monuments Collapse","Sludge/Doom Metal/Post-Metal","San Francisco, California","N/A"
"Monuments to Sorrow","Funeral Doom Metal","Houston, Texas","2006-?"
"Monvment","Black Metal","Chicago, Illinois","N/A"
"Mookerdam","Death/Doom/Sludge Metal","Los Angeles, California / Idaho","2006-?"
"Moon and Azure Shadow","Epic/Atmospheric Black Metal","Los Angeles, California","2012-Present"
"Moon Ar","Black Metal","Hammond, Indiana","N/A"
"Moon Bog","Atmospheric Black Metal","Madison, Wisconsin","N/A"
"Moon Command","Progressive Thrash Metal","Minneapolis, Minnesota","N/A"
"Moon Cult","Black Metal",,"N/A"
"Moon Curse","Stoner/Doom Metal","Milwaukee, Wisconsin","2011-Present"
"Moon Dark","Black Metal","San Francisco, California","2004-Present"
"Moon Destroys","Progressive Metal/Rock","Atlanta, Georgia","N/A"
"Moon Drunk","Grindcore/Death/Black Metal","Chicago, Illinois","2021-Present"
"Moon Halo","Progressive/Gothic Metal","Southington, Connecticut","2001-?"
"Moon of Delirium","Black/Doom Metal","Salt Lake City, Utah","2010-Present"
"Moon Presence","Black Metal","Little Rock, Arkansas","N/A"
"Moon Tooth","Progressive Metal","Long Island, New York","2012-Present"
"Moon Witch","Black/Death Metal/Grindcore","Dayton, Ohio","N/A"
"Moon Wizard","Stoner/Doom Metal/Rock","Salt Lake City, Utah","2018-Present"
"Moonbow","Stoner Rock/Metal","Dry Ridge, Kentucky","2010-Present"
"Moonbreath","Doom Metal","Hammond, Indiana","N/A"
"Moonburn","Black Metal","Bridgeport, Connecticut","N/A"
"Mooncalf","Technical Thrash Metal","Raytown, Missouri","1989-1990 (as Mr. Bungle), 1990-?, ?-? (as Overman)"
"Mooncult Suicide","Black Metal","Oregon","2005-?"
"Moongate","Black Metal","Providence, Rhode Island","N/A"
"Moonknight","Black Metal","Louisville, Kentucky","N/A"
"Moonlight Awakening","Gothic Metal","Parsippany, New Jersey","1999-2007"
"Moonlight Butchery","Black Metal","San Antonio/Houston, Texas","2014-2018"
"Moonlight Prophecy","Progressive/Power Metal","Philadelphia, Pennsylvania","2007-2017 (as Lawrence's Creation), 2017-Present"
"Moonlit Wake","Atmospheric Black Metal","Linden, Virginia","?-? (as Winter Without End), 2008-Present"
"Moonlust","Symphonic Power Metal","San Benito, Texas","2014-?"
"Moonrise Requiem","Atmospheric/Depressive Black Metal","La Puente, California","N/A"
"Moonrock","Heavy Metal","New York, New York","N/A"
"Moonroot","Celtic Folk Metal/Rock","Ashburn, Virginia","1997-?"
"Moons","Doom/Stoner/Sludge Metal","Pennsylvania","2015-Present"
"Moonshield","Melodic Death Metal","Atlanta, Georgia","N/A"
"Moonshine","Doom/Sludge Metal","Baltimore, Maryland","?-? (as Hatchet), 2004-?"
"Moonshine Mile","Stoner Metal/Rock","Newark, Delaware","2005-2009"
"Moonsword","Black Metal","Lexington, Kentucky","N/A"
"Moonthrone","Melodic Black Metal","Wheeling, West Virginia","1996-2016"
"Moontroll","Black Metal","Salem, Massachusetts","N/A"
"Moordlust","Death/Black/Thrash Metal","Lincoln, Nebraska","1999-?"
"Moore","Heavy Metal","Denver, Colorado","1995-?"
"Moosataur","Psychedelic Doom/Stoner Metal","Ayer, Massachusetts","N/A"
"Moose","Sludge Metal","Gulfport, Mississippi","N/A"
"Mor Amore","Heavy Metal","Seattle, Washington","1986-?"
"Moral Decay","Death/Thrash Metal/Punk","Nashville, Tennessee","2000-2008"
"Moral Decay","Death Metal","Chicago, Illinois","2001-2009"
"Moral Decay","Death Metal/Grindcore","New Bedford, Massachusetts","N/A"
"Moral Decay","Heavy/Thrash Metal","Raleigh, North Carolina","N/A"
"Moral Deceit","Death Metal/Grindcore","Denver, Colorado","N/A"
"Moral Void","Black Metal/Crust","Chicago, Illinois","2012-Present"
"Morality Check","Progressive Heavy/Groove Metal","Cleveland, Ohio","2003-?"
"Morari","Post-Black Metal/Shoegaze","Los Angeles, California","2017-Present"
"Moray","Post-Black/Thrash Metal","Provo, Utah","2015-Present"
"Morbe","Black Metal","North Carolina","2017-Present"
"Morbid Anal Fog","Black Metal","Dallas, Texas","2001-2011"
"Morbid Angel","Death Metal","Tampa, Florida","1983-1983 (as Ice), 1983-1984 (as Heretic), 1984-Present"
"Morbid Blood","Black/Thrash Metal","Boston, Massachusetts","N/A"
"Morbid Corpses","Death/Thrash Metal","Kenosha, Wisconsin","1987-?"
"Morbid Cross","Thrash Metal","Vineland, New Jersey","2009-Present"
"Morbid Curiosity","Death Metal/Grindcore (early); Alternative Metal/Hardcore (later)","Long Island, New York","2005-Present"
"Morbid Death","Thrash Metal","Alice, Texas","N/A"
"Morbid Death","Speed Metal","Villa Ridge/St. Louis, Missouri","1985-?"
"Morbid Death","Thrash Metal","St. Louis, Missouri","N/A"
"Morbid Death","Thrash Metal","South Central, Los Angeles, California","2006-Present"
"Morbid Desecration","Black Metal","Washington, D.C.","2017-Present"
"Morbid Eclipse","Black/Thrash Metal","San Diego, California","N/A"
"Morbid Ecstasy","Thrash Metal","Rochester, New York","1988-?"
"Morbid Entree","Death Metal","Ambler, Pennsylvania","1995-?"
"Morbid Existence","Death Metal","Leesburg, Virginia","N/A"
"Morbid Fascination","Technical Death Metal","Salem, Oregon","2014-Present"
"Morbid Forest","Black/Doom Metal","New Alexandria, Pennsylvania","2012-?"
"Morbid Gods","Death Metal","San Diego, California","N/A"
"Morbid Hammer","Black/Heavy/Speed Metal","Tampa, Florida","N/A"
"Morbid Justice","Thrash Metal","Durango, Colorado","2007-Present"
"Morbid Life Society","Crossover/Thrash Metal","San Francisco, California","N/A"
"Morbid Overtures","Brutal Death Metal","Glens Falls, New York","2012-Present"
"Morbid Remains","Death Metal","New Jersey","2004-2004"
"Morbid Rites","Thrash Metal","Springfield, Missouri","2016-Present"
"Morbid Romance","Black Metal",,"N/A"
"Morbid Sacrifice","Death Metal","Bellefonte, Pennsylvania","N/A"
"Morbid Saint","Thrash Metal","Sheboygan, Wisconsin","1984-1994, 2010-Present"
"Morbid Scream","Thrash Metal","Plano, Texas","1986-1987 (as Necrosis), 1987-1990, 1990-1990 (as The Morbid)"
"Morbid Sin","Power/Thrash Metal","Edison, New Jersey","1985-?"
"Morbid Spawn","Death Metal",,"2015-Present"
"Morbid Sphere","Blackened Death Metal","Brooklyn (New York City), New York","N/A"
"Morbid Temptation","Death Metal","New Jersey (South)","N/A"
"Morbid Termination","Power/Speed Metal","San Antonio, Texas","1980-?"
"Morbid Terror","Death Metal/Grindcore (early); Black Metal (later)","Hudson County, New Jersey","2004-Present"
"Morbid Tomb","Death/Doom Metal","New Alexandria, Pennsylvania","2008-Present"
"Morbid Truth","Thrash Metal/Crossover","Thousand Oaks, California","1990-1990 (as Malicious Intent), 1990-1992, 1992-? (as Means to an End)"
"Morbid Violence","Death Metal","Indianapolis, Indiana","1990-1992"
"Morbid Visions","Death/Thrash Metal","Belmar, New Jersey","N/A"
"Morbid Vitality","Death/Thrash Metal","Norwood/Walpole, Massachusetts","2011-2015"
"Morbid Wizard","Sludge Metal","Cleveland, Ohio","2011-2013, 2015-Present"
"Morbid Zeal","Heavy Metal/Noise Rock","Grand Rapids, Michigan","N/A"
"Morbid Zombie","Death Metal","Lawrence, Kansas","N/A"
"Morbidhell","Raw Black Metal","Standing Rock, New Mexico","N/A"
"Morbidness","Black Metal","New Alexandria, Pennsylvania","2008-Present"
"Morbidon","Death Metal","New York, New York","1991-?"
"Morbithory","Raw Black Metal","Many Farms, Arizona","2012-Present"
"Morbius","Death Metal","Springfield, Virginia","1990-?, 2014-Present"
"Morbosidad","Black/Death Metal","Oakland, California (early); Houston, Texas (later)","1991-1995, 1998-Present"
"Morbus","Death Metal","Pinedale, California","1990-1990 (as Intense Bowel Movement), 1990-1996"
"Morbus 666","Black Metal","Houston, Texas","2010-Present"
"Morbus Deus","Death Metal","Parker/Northglenn, Colorado","2004-2006 (as Crown of Aggression), 2006-2010 (as Morbus Deus), 2010-? (as Dissonance in Design)"
"Mordant Rapture","Symphonic/Technical Black/Death Metal","San Jose, California","2013-Present"
"Mordatorium","Death Metal","Lisle, Illinois (early); Chicago, Illinois (later)","2006-Present"
"Mordecai","Death/Thrash Metal","Tampa, Florida","1987-1992"
"Mörder","Black Metal","Richmond, Virginia","N/A"
"Mordis","Death Metal","Orange, California","N/A"
"Mordium","Black Metal","Longview, Texas","N/A"
"Mordium","Melodic Death Metal","Encinitas, California","N/A"
"Mordom","Death/Doom Metal","San Diego, California","2018-2020 (as Mordom), 2020-2020 (as Mortis Memoriam), 2020-Present"
"Mordor","Black Metal","Santa Ana, California","2010-?"
"Mordor","Black Metal","Memphis, Tennessee","2015-2017, 2018-2020, 2018-Present"
"Mordred","Thrash Metal/Funk","San Francisco, California","1984-1995, 2001-2007, 2013-Present"
"Mordrid","Death Metal","Chicago, Illinois","2005-2009"
"Mördrot","Death Metal","Minneapolis, Minnesota","2011-2013 (as Mördwolf), 2013-2015 (as Ulvmörd), 2015-2016 (as Mördwolf), 2016-2019"
"Mördwolf","Death Metal","Minneapolis, Minnesota","2011-2013, 2013-2015 (as Ulvmörd), 2015-2016, 2016-? (as Mördrot)"
"More Hell","Thrash Metal","Portland, Oregon","N/A"
"Morfin","Death Metal","Pico Rivera, California (early); Los Angeles, California (later)","2010-Present"
"Morg","Death/Thrash Metal","Michigan","N/A"
"Morgan Lafay","Progressive Metal","Johnson City, Tennessee","N/A"
"Morgana Le Fay","Melodic Heavy Metal","Hagerstown, Maryland","N/A"
"Morganian Rite","Black/Death Metal","Maine","N/A"
"Morganthus","Heavy/Doom/Stoner Metal","Warren, Pennsylvania","N/A"
"Morgatory","Death Metal","Philadelphia, Pennsylvania","1991-?"
"Morgatory666","Death Metal","Toledo, Ohio","2014-2015"
"Morgellon","Technical Death Metal/Grindcore","Bend, Oregon","2012-Present"
"Morgengrau","Death Metal","Austin, Texas","2010-Present"
"Morgennebel","Black Metal/RAC",,"N/A"
"Morgh","Black Metal","Newtown, Pennsylvania","2007-2009 (as V), 2009-Present"
"Morgion","Doom/Death Metal","Orange County, California","1990-2008, 2008-2008, 2011-2013"
"Morgion","Thrash/Speed Metal","Fredericksburg, Virginia","?-?, ?-? (as Malintent)"
"Morgirion","Black Metal","Suffield, Connecticut","2005-Present"
"Morgophobia","Death Metal","Asbury Park, New Jersey","1984-1987 (as Morbid Evil), 1987-Present"
